grid_x,grid_y,police_count,center_lon,center_lat
1410267,417511,1,126.924075,37.576035000000005
1410293,417795,1,126.926415,37.601595
1410294,416810,1,126.926505,37.512945
1410295,418015,1,126.926595,37.621395
1410296,416995,1,126.926685,37.529595
1410317,418089,1,126.92857500000001,37.628055
1410318,417302,1,126.92866500000001,37.557225
1410321,418269,1,126.92893500000001,37.644255
1410322,417901,1,126.92902500000001,37.611135000000004
1410325,416465,1,126.92929500000001,37.481895
1410325,417192,1,126.92929500000001,37.547325
1410348,418159,1,126.93136500000001,37.634355
1410353,417875,1,126.93181500000001,37.608795
1410365,417447,1,126.932895,37.570275
1410365,417981,1,126.932895,37.618335
1410370,416488,1,126.933345,37.483965000000005
1410370,416790,1,126.933345,37.511145
1410382,416511,1,126.934425,37.486035
1410385,417272,1,126.934695,37.554525000000005
1410391,416376,1,126.935235,37.473885
1410402,416732,1,126.93622500000001,37.505925000000005
1410402,417595,1,126.93622500000001,37.583595
1410414,416707,1,126.93730500000001,37.503675
1410459,416425,1,126.941355,37.478295
1410475,416809,1,126.942795,37.512855
1410477,417317,1,126.942975,37.558575000000005
1410478,417139,1,126.943065,37.542555
1410495,417646,1,126.944595,37.588185
1410501,416544,1,126.94513500000001,37.489005000000006
1410515,417724,1,126.94639500000001,37.595205
1410566,416382,1,126.950985,37.474425000000004
1410599,417235,1,126.95395500000001,37.551195
1410600,417242,1,126.95404500000001,37.551825
1410615,417360,1,126.95539500000001,37.562445000000004
1410627,417885,1,126.95647500000001,37.609695
1410639,416425,1,126.95755500000001,37.478295
1410649,417778,1,126.95845500000001,37.600065
1410668,416770,1,126.960165,37.509345
1410678,417443,1,126.961065,37.569915
1410691,417464,1,126.962235,37.571805000000005
1410732,417095,1,126.96592500000001,37.538595
1410740,417836,1,126.96664500000001,37.605285
1410741,417387,1,126.96673500000001,37.564875
1410745,417309,1,126.96709500000001,37.557855
1410751,417123,1,126.967635,37.541115000000005
1410753,417365,1,126.967815,37.562895000000005
1410764,416733,1,126.968805,37.506015000000005
1410767,417517,1,126.969075,37.576575000000005
1410771,417571,1,126.969435,37.581435
1410784,416938,1,126.970605,37.524465
1410784,417602,1,126.970605,37.584225
1410787,417156,1,126.970875,37.544085
1410795,417297,1,126.97159500000001,37.556775
1410799,417500,1,126.97195500000001,37.575045
1410802,417453,1,126.97222500000001,37.570815
1410813,416490,1,126.97321500000001,37.484145000000005
1410814,416903,1,126.97330500000001,37.521315
1410817,417275,1,126.97357500000001,37.554795000000006
1410822,417519,1,126.97402500000001,37.576755000000006
1410830,417067,1,126.97474500000001,37.536075000000004
1410838,417375,1,126.97546500000001,37.563795
1410848,417322,1,126.976365,37.559025000000005
1410849,417432,1,126.976455,37.568925
1410865,416383,1,126.977895,37.474515000000004
1410871,417212,1,126.978435,37.549125000000004
1410874,417316,1,126.978705,37.558485000000005
1410883,416450,1,126.979515,37.480545
1410888,417422,1,126.979965,37.568025000000006
1410901,417571,1,126.98113500000001,37.581435
1410912,416439,1,126.98212500000001,37.479555000000005
1410918,417477,1,126.98266500000001,37.572975
1410925,416607,1,126.98329500000001,37.494675
1410932,417373,1,126.98392500000001,37.563615000000006
1410935,417465,1,126.98419500000001,37.571895000000005
1410949,417176,1,126.985455,37.545885000000006
1410959,417430,1,126.986355,37.568745
1410965,416565,1,126.986895,37.490895
1410987,416601,1,126.98887500000001,37.494135
1410988,417450,1,126.98896500000001,37.570545
1411000,417373,1,126.99004500000001,37.563615000000006
1411017,417343,1,126.99157500000001,37.560915
1411026,417458,1,126.99238500000001,37.571265000000004
1411031,417401,1,126.99283500000001,37.566135
1411048,417047,1,126.994365,37.534275
1411059,416488,1,126.995355,37.483965000000005
1411059,417359,1,126.995355,37.562355000000004
1411077,416690,1,126.996975,37.502145000000006
1411084,417658,1,126.99760500000001,37.589265000000005
1411094,417703,1,126.99850500000001,37.593315000000004
